ssn,prenom,nom,date_naissance,email,numero_telephone,id_remboursement,code_soin,montant_remboursement
106088313778124,Aurélien,Besnard,1970-03-04,aurélie.besnard782@gimenez.fr,+33 1 81 09 43 33,1810,M00–M99,0.5294117647058824
244085935061604,Isabel,Chevallier,1952-01-30,isabelle.chevallier896@laporte.fr,+33 1 80 45 16 10,2057,H60–H95,47.9
272075746336887,Coleeette,Monnier,1966-01-13,colette.monnier678@carlier.fr,+33 (0)8 07 05 26 89,5399,M00–M99,98.5
217105746399470,Chrisdfvtelle,Charpentier,1932-07-14,christelle.charpentier714@renaud.com,+33 (0)5 45 65 42 41,3932,A00–B99,19.3
105076613614419,Franfvçoise,Meyer,1936-12-20,françoise.meyer273@boutin.com,0182614421,3571,H60–H95,26.615384615384617
284119550042289,Julivfven,Barre,1946-11-08,julien.barre897@ramos.fr,+33 (0)1 56 12 45 31,5191,A00–B99,66.2
261088212118828,Patvfdricia,Charrier,1971-03-12,patricia.charrier402@mercier.org,+33 3 22 52 02 64,5552,I00–I99,61.0
147077055018539,Ricfdvhard,Pineau,1998-06-29,richard.pineau770@laine.fr,+33 (0)7 14 05 63 11,5703,H60–H95,30.705882352941178
100116806624047,Adèle,Gautvfier,1962-01-31,adèvle.gautier778@mercier.com,0466706606,7747,Q00–Q99,9.916666666666666
198095626048644,Tristan,Verdier,1990-04-12,tristan.verdier4@dupuy.com,+33 (0)5 95 10 30 39,6251,H00–H59,2.25
